"original for Test translation_Italian_FT.txt","Test translation_Italian_FT.txt","original for Test translation_Norwegian_FT.txt","Test translation_Norwegian_FT.txt"
"Three in-house progressive jackpots. All games from the Jackpots category are participating. Cashable winnings. No wagering.","Tre jackpot progressivi in-house. Partecipano tutti i giochi della categoria Jackpot. Vincite incassabili. Nessuna puntata.","Three in-house progressive jackpots. All games from the Jackpots category are participating. Cashable winnings. No wagering.","Tre interne progressive jackpoter. Alle spill fra jackpotkategoriene deltar. Gevinster som kan utbetales. Ingen innsatskrav."
"","","",""
"SlHOT of the Week tournaments are open to all casino players who made at least one deposit.","I tornei SlHOT della Settimana sono aperti a tutti i giocatori di casinò che hanno effettuato almeno un deposito.","SlHOT of the Week tournaments are open to all casino players who made at least one deposit.","Ukens SlHOT-turneringer er åpne for alle kasinospillere som har gjort minst ett innskudd."
"","","",""
"Any bonus can be cancelled before you start playing it through. Otherwise, by cancelling the bonus player accepts that all the winnings, gained during the play with this bonus, if there are any, and bonus amount are deducted from the player's balance. Please contact the support service to find out more about cancelling your bonus.","Ogni bonus può essere annullato prima di iniziare a giocare. In caso contrario, cancellando il bonus, il giocatore accetta che tutte le vincite ottenute con questo bonus, (se presenti) oltre che l'importo del bonus stesso, vengano detratti dal saldo del giocatore. Per saperne di più sulla cancellazione del bonus, contatta il servizio di assistenza.","Any bonus can be cancelled before you start playing it through. Otherwise, by cancelling the bonus player accepts that all the winnings, gained during the play with this bonus, if there are any, and bonus amount are deducted from the player's balance. Please contact the support service to find out more about cancelling your bonus.","Enhver bonus kan kanselleres før du begynner å spille med den. Når man kansellerer bonusen, godtar spilleren at alle eventuelle gevinster med denne bonusen, samt bonusbeløpet, trekkes fra spillerens saldo. Kontakt kundestøtten for å få mer informasjon om kansellering av bonuser."
"","","",""
"The maximum winnings that will be paid out resulting from all bonuses will be 10x from the initial bonus sum.","La vincita massima che verrà pagata da ogni bonus sarà pari a 10 volte l'importo del bonus iniziale.","The maximum winnings that will be paid out resulting from all bonuses will be 10x from the initial bonus sum.","Den maksimale gevinsten som utbetales fra alle bonuser er 10x den opprinnelige bonussummen."
"","","",""
"Any players deemed to be using any strategy or advantage play technique can be excluded from the Welcome Bonus.","Qualsiasi giocatore che si ritenga stia utilizzando una strategia o una tecnica di gioco che procuri un vantaggio ingiusto può essere escluso dal Bonus di Benvenuto.","Any players deemed to be using any strategy or advantage play technique can be excluded from the Welcome Bonus.","Spillere som anses å bruke strategier eller spilleteknikker for å oppnå fordeler kan ekskluderes fra velkomstbonusen."
"","","",""
"If the player is suspected of fraudulent actions including, but not limited to:","Se il giocatore è sospettato di azioni fraudolente, tra cui, a titolo esemplificativo ma non esaustivo:","If the player is suspected of fraudulent actions including, but not limited to:","Hvis spilleren blir mistenkt for svindelforsøk, for eksempel:"
"","","",""
"participating in any type of collusion with other players","partecipazione a qualsiasi tipo di accordo con altri giocatori","participating in any type of collusion with other players","delta i noen form for samarbeid med andre spillere"
"","","",""
"development of strategies aimed at gaining of unfair winnings","sviluppo di strategie finalizzate all'ottenimento di vincite ingiuste","development of strategies aimed at gaining of unfair winnings","utvikling av strategier som fører til å vinne gevinster på uærlig vis"
"","","",""
"fraudulent actions against other online casinos or payment providers","azioni fraudolente nei confronti di altri casinò online o fornitori di pagamenti","fraudulent actions against other online casinos or payment providers","svindelforsøk mot andre nettkasinoer eller betalingsleverandører"
"","","",""
"chargeback transactions with a credit card or denial of some payments made","transazioni di chargeback con carta di credito o rifiuto di alcuni pagamenti effettuati","chargeback transactions with a credit card or denial of some payments made","tilbakebetalingstransaksjoner med kredittkort eller avvise enkelte betalinger"
"","","",""
"creating two or more accounts","creazione di uno o più conti","creating two or more accounts","opprette to eller flere kontoer"
"","","",""
"low risk roulette play where the player betting equal stakes for both black/red or even/odd covering 25 or more out of 37 numbers on the table. (Placing bets on black/red only covers 36 of 37 possible numbers).","roulette a basso rischio in cui il giocatore piazza puntate uguali sia per il nero/rosso che sul pari/dispari coprendo 25 o più dei 37 numeri presenti sul tavolo. (Piazzare puntate su nero/rosso copre solo 36 dei 37 numeri possibili).","low risk roulette play where the player betting equal stakes for both black/red or even/odd covering 25 or more out of 37 numbers on the table. (Placing bets on black/red only covers 36 of 37 possible numbers).","spille på rulett med lav risiko, der spilleren satser lik innsats på både svart/rød eller partall/oddetall som dekker 25 eller flere av de 37 tallene på bordet (innsats bare på svart/rød dekker 36 av 37 mulige tall)."
"","","",""
"other types of cheating.","altri tipi di frodi.","other types of cheating.","andre typer juks."
"","","",""
"or becomes a bankrupt in the country of their residence, the Company reserves the right to terminate such Player Account and suspend and/or cancel all payouts to the player.","In caso di bancarotta nel Paese di residenza, la Società si riserva il diritto di chiudere il conto del giocatore e di sospendere e/o annullare tutti i suoi pagamenti.","or becomes a bankrupt in the country of their residence, the Company reserves the right to terminate such Player Account and suspend and/or cancel all payouts to the player.","Eller går konkurs i landet der de bor, forbeholder selskapet seg retten til å avslutte en slik spillerkonto og suspendere og/eller kansellere alle utbetalinger til spilleren."
"","","",""
"","","",""
"","","",""
"","","",""
